EFECTORES,NUEVOS EFECTORES
HOSPITAL CTRO.SALUD BELLA VIST - AREA OPERATIVA BELLA VISTA,Área Op. Bella Vista
AO BELLA VISTA,Área Op. Bella Vista
HOSPITAL EL BRACHO - AREA OPERATIVA EL BRACHO,Área Op. El Bracho
AREA OPERATIVA BRACHO,Área Op. El Bracho
AO EL BRACHO,Área Op. El Bracho
 AO EL BRACHO,Área Op. El Bracho
HOSPITAL DE SAN PABLO - AREA OPERATIVA SAN PABLO,Área Op. San Pablo
AO SAN PABLO,Área Op. San Pablo
AREA OPERATIVA SAN PABLO,Área Op. San Pablo
HOSPITAL DE AGUILARES - AREA OPERATIVA AGUILARES,Área Op. Aguilares
HOSPITAL DE AGUILARES - HOSPITAL SARMIENTO,Área Op. Aguilares
AO AGUILARES,Área Op. Aguilares
HOSPITAL DE JUAN B. ALBERDI - AREA OPERATIVA ALBERDI,Área Op. Alberdi
AO ALBERDI,Área Op. Alberdi
AREA OPERATIV ALDERETES,Área Op. Alderetes
AO ALDERETES,Área Op. Alderetes
 AO ALDERETES,Área Op. Alderetes
AREA OPERATIVA ALTA MONTAÑA,Área Op.Alta Montaña
AREA OPERATIVA BANDA DEL RIO S,Área Op.B.Río Salí
AREA OPERATIVA BANDA RIO S.,Área Op. B.Río Salí
AREA OPERATIVA BANDA DEL RIO S.,Área Op. B.Río Salí
AO BANDA DEL RIO SALI,Área Op. B.Río Salí
HOSPITAL DE BURRUYACU,Área Op. Burruyacú
AO BURRUYACU,Área Op. Burruyacú
AREA OPERATIVA CONCEPCION,Área Op. Concepción
AO CONCEPCION,Área Op. Concepción
AREA OPERATIVA EL CADILLAL,Área Op. El Cadillal
AO EL CADILLAL,Área Op. El Cadillal
HOSPITAL EL TIMBO - AREA OPERATIVA EL TIMBO,Área Op. El Timbo
AO EL TIMBO,Área Op. El Timbo
HOSPITAL ESTACION ARAOZ - AREA OPERATIVA ESTACION ARAOZ,Área Op. Estac.Araoz
AO ESTACION ARAOZ,Área Op. Estac.Araoz
HOSPITAL DE FAMAILLA - AREA OPERATIVA FAMAILLA,Área Op. Famailla
AO FAMAILLA,Área Op. Famailla
HOSPITAL DE GARMENDIA,Área Op. Garmendia
AREA OPERATIVA GARMENDIA,Área Op. Garmendia
AO GARMENDIA,Área Op. Garmendia
AREA OPERATIVA GRANEROS,Área Op. Graneros
AO GRANEROS,Área Op. Graneros
HOSPITAL DE LA COCHA - AREA OPERATIVA LA COCHA,Área Op. La Cocha
AO LA COCHA,Área Op. La Cocha
AREA OPERATIVA LA FLORIDA,Área Op. La Florida
AO LA FLORIDA,Área Op. La Florida
AREA OPERATIVA LA RAMADA,Área Op. La Ramada
AO LA RAMADA,Área Op. La Ramada
HOSPITAL DE LAMADRID - HOSPITAL DE LAMADRID DE GRANEROS/HOSPITAL RAMON MAZA,Área Op. Lamadrid
HOSPITAL DE LAMADRID - HOSPITAL DE LAMADRID DE GRANEROS,Área Op. Lamadrid
AO LAMADRID,Área Op. Lamadrid
HOSPITAL SANTA ROSA DE LEALES - AREA OPERATIVA SANTA ROSA DE LEALES,Área Op. Leales
AO LEALES,Área Op. Leales
HOSPITAL DE LOS RALOS - AREA OPERATIVA LOS RALOS,Área Op. Los Ralos
AO LOS RALOS,Área Op. Los Ralos
AREA OPERATIVA LOS RALOS,Área Op. Los Ralos
HOSPITAL DE LULES - AREA OPERATIVA LULES,Área Op. Lules
AO LULES,Área Op. Lules
AREA OPERATIVA MARIANO MORENO,Área Op. M.Moreno
AREA OPERATIVA M. MORENO,Área Op. M.Moreno
AO MARIANO MORENO,Área Op. M.Moreno
AREA OPERATIVA MONTEROS,Área Op. Monteros
AO MONTEROS,Área Op. Monteros
AREA OPERATIVA NORESTE,Área Op.Noreste
AO NORESTE,Área Op. Noreste
AREA OPERATIVA NOROESTE,Área Op. Noroeste
AO NOROESTE,Área Op. Noroeste
HOSPITAL DE RANCHILLOS - AREA OPERATIVA RANCHILLOS,Área Op. Ranchillos
AO RANCHILLOS,Área Op. Ranchillos
HOSPITAL DE SANTA ANA - AREA OPERATIVA SANTA ANA,Área Op. Santa Ana
AO SANTA ANA,Área Op. Santa Ana
HOSPITAL DE SIMOCA - AREA OPERATIVA SIMOCA,Área Op. Simoca
AO SIMOCA,Área Op. Simoca
AREA OPERATIVA SUDESTE,Área Op. Sudeste
AREA OPERATIVA SUDESTE                                                                                                                                ,Área Op. Sudeste
AO SUDESTE,Área Op. Sudeste
 AO SUDESTE,Área Op. Sudeste
AREA OPERATIVA SUDOESTE,Área Op. Sudoeste
AO SUDOESTE,Área Op. Sudoeste
HOSPITAL DE TAFI DEL VALLE - AREA OPERATIVA TAFI DEL VALLE,Área Op. Tafí del Valle
AO TAFI DEL VALLE,Área Op. Tafí del Valle
AREA OPERATIVA TAFI DEL VALLE - AREA OPERATIVA TAFI DEL VALLE,Área Op. Tafí del Valle
 AO TAFI DEL VALLE,Área Op. Tafí del Valle
AREA OPERATIVA TAFI VIEJO,Área Op. Tafí Viejo
AO TAFI VIEJO,Área Op. Tafí Viejo
HOSPITAL DE TRANCAS - AREA OPERATIVA TRANCAS,Área Op. Trancas
AO TRANCAS,Área Op. Trancas
AREA OPERATIVA VALLES CALCHAQU - AREA OPERATIVA VALLES C.,Área Op. VallesCalchaquies
AO VALLES CALCHAQUIES,Área Op. VallesCalchaquies
 AO VALLES CALCHAQUIES,Área Op. VallesCalchaquies
AO VALLES CALCHAQUÍES,Área Op. VallesCalchaquies
AREA OPERATIVA YERBA BUENA,Área Op. Yerba Buena
AO YERBA BUENA,Área Op. Yerba Buena
AREA PROGRAMATICA SUR,Área Prog.Sur
CENTRO LAS MORITAS,Ctro.Las Moritas
CENTRO DE REHABILITACION LAS MORITAS,Ctro.Las Moritas
CUCAI-TUC,CUCAI
DIRECTOR DE CUCAI,CUCAI
DIRECCION DE COMUNICACIONES INFORMATICA Y LOGISTICA,Dir Comunic Informática y Logística
DIRECCION DE COMUNICACIONES INFORMATICA Y LOGISTICA - DPTO. LOGISTICA Y TRANSP.,Dir Comunic Informática y Logística
DIRECCION DE COMUNICACIONES INFORMATICA Y LOGISTICA - DPTO. INFORMATICA,Dir Comunic Informática y Logística
DPTO. COMUNIC. LOGISTICA Y TRANSP.,Dir Comunic Informática y Logística
DIR. DE COMUNICACIÓN INFORMATICA Y LOGISTICA,Dir Comunic Informática y Logística
 DIRECCIÓN DE COMUNICACIÓN INFORMATICA Y LOGISTICA,Dir Comunic Informática y Logística
DIRECCIÓN DE COMUNICACIÓN, INFORMATICA Y LOGISTICA
DIREC. GRAL. CONTABILIDAD Y PATRIMONIO,Dir.Gral.Cont y Patrimonio
DIR. GRAL. CONTAB. Y PATRIMONIO,Dir.Gral.Cont y Patrimonio
DIR GRAL CONTAB Y PATRIMONIO,Dir.Gral.Cont y Patrimonio
DIR. GRAL. CONTRAT. Y ALMACENES,Dir.Gral.Cont.y Almacenes
DIR. GRAL. CONTRAT. Y ALMACENES - DPTO. ALMACENAMIENTO Y DISTRIBUCION,Dir.Gral.Cont.y Almacenes
CONTRATACION Y ALMACENES,Dir.Gral.Cont.y Almacenes
DIR GRAL FISCALIZ SANITARIA,Dir.Gral.Fiscaliz.Sanitaria
DIR GRAL FISCALIZ SANITARIA - BROMATOLOGIA,Dir.Gral.Fiscaliz.Sanitaria
DIR GRAL FISCALIZ SANITARIA - DIR. FISCALIZACION AMBIENTAL,Dir.Gral.Fiscaliz.Sanitaria
DIRECCION GENERAL DE FISCALIZACION SANITARIA,Dir.Gral.Fiscaliz.Sanitaria
DIR. GRAL. REC. FINANCIEROS,Dir.Gral.Rec.Financieros
DIR. GRAL. REC. FINANCIEROS - DIR. GRAL. REC. FINANCIAMIENTO - DIR- GRAL. COMPLEMENTARIO POR DESEMPEÑO,Dir.Gral.Rec.Financieros
DIRECCION GENERAL DE RECURSOS FINANCIEROS,Dir.Gral.Rec.Financieros
DIRECCIÓN GRAL DE RECURSOS FINANCIEROS,Dir.Gral.Rec.Financieros
DIR GRAL RED DE SERVICIOS,Dir.Gral.Red de Servicios
 DIRECCION GENERAL DE RED DE SERVICIOS,Dir.Gral.Red de Servicios
DIRECCION GENERAL DE RED DE SERVICIOS,Dir.Gral.Red de Servicios
615 - DIRECCION GENERAL DE RED DE SERVICIOS,Dir.Gral.Red de Servicios
DIREC. GRAL. RRHH,Dir.Gral.RRHH en Salud
DIR GRAL RR HH EN SALUD,Dir.Gral.RRHH en Salud
