Niveles,Ld 003-91 Abril 26 CALCULADO,Abril 2026 ESTANDAR,Dif Calculado Vs Estandar
A5-A1,"279,183.38","336,442.21","57,258.83"
A5-A2,"248,841.37","297,300.76","48,459.39"
A5-A3,"438,099.24","449,768.18","11,668.94"
A6-A1,"131,784.16","272,960.89","141,176.73"
A6-A2,"170,576.46","295,608.86","125,032.41"
A6-A3,"242,177.21","332,374.12","90,196.91"
A2-A1,"75,182.08","274,660.06","199,477.98"
A2-A2,"17,028.52","282,243.30","265,214.78"
A2-A3,"89,223.81","328,521.00","239,297.19"
A7-A1,"-67,515.05","173,074.92","240,589.97"
A7-A2,,,
A7-A3,"-21,728.46","271,655.07","293,383.53"
A8-A1,"-170,403.01","153,064.86","323,467.87"
A8-A2,,,
A8-A3,"-36,239.79","288,486.77","324,726.56"
B5-B1,"225,469.38","338,657.71","113,188.33"
B5-B2,"271,714.01","371,163.29","99,449.28"
B6-B1,"-57,908.96","215,218.24","273,127.20"
B6-B2,"126,786.01","342,919.12","216,133.12"
B2-B1,"-56,958.64","206,465.80","263,424.44"
B2-B2,"31,771.72","206,397.61","174,625.89"
B7-B1,"-103,975.26","100,953.38","204,928.64"
B7-B2,"119,796.05","339,395.85","219,599.80"
C5-C,"347,735.16","361,516.56","13,781.40"
C6-C,"124,329.42","281,054.33","156,724.91"
C2-C,"57,405.91","218,476.24","161,070.33"
C7-C,"-161,141.13","195,191.60","356,332.73"
